"key","message","comment","context"
"App sale",,,
"Billing",,,
"Billing address",,,
"Billing entity",,,
"Billing status",,,
"Canceled","Annulé",,
"Code comptable",,,
"Commercial",,,
"Commerciaux",,,
"Control supplier",,,
"Customer Order",,,
"Delivery address",,,
"Delivery instruction",,,
"Demande d’acompte",,,
"Devis avec acompte",,,
"Draft quotation","Devis brouillon",,
"Entity group",,,
"Envoyer",,,
"Envoyé",,,
"Etudes achat",,,
"Finalized quotation","Devis finalisé",,
"Fixe",,,
"Groupe",,,
"Koryo",,,
"Libre",,,
"Liste des contacts facturation",,,
"Litigation",,,
"Litigation info",,,
"Modèle économique",,,
"Non visible",,,
"Order completed","Commande terminée",,
"Order confirmed","Commandé client",,
"Partner",,,
"Partners",,,
"Pending billing",,,
"Permet d'dentifier les groupes",,,
"Permet d'envoyer un email tous ces contacts pour chaque facture associé à ce client",,,
"Provider",,,
"Sale order",,,
"Sale orders",,,
"Sociétés filles",,,
"Stock move",,,
"Stock move line",,,
"Supplier RFQ/PO",,,
"Taux de marge (en %)",,,
"Titre devis",,,
"Type de taux",,,
"Undelivered BLs",,,
"Undelivered orders",,,
"Visible",,,
"coefficient de majoration devises",,,
